date,case_type,count
25/1/2020,cases_active,4
25/1/2020,cases_recovered,0
25/1/2020,deaths_new,0
26/1/2020,cases_active,4
26/1/2020,cases_recovered,0
26/1/2020,deaths_new,0
27/1/2020,cases_active,4
27/1/2020,cases_recovered,0
27/1/2020,deaths_new,0
28/1/2020,cases_active,4
28/1/2020,cases_recovered,0
28/1/2020,deaths_new,0
29/1/2020,cases_active,7
29/1/2020,cases_recovered,0
29/1/2020,deaths_new,0
30/1/2020,cases_active,8
30/1/2020,cases_recovered,0
30/1/2020,deaths_new,0
31/1/2020,cases_active,8
31/1/2020,cases_recovered,0
31/1/2020,deaths_new,0
1/2/2020,cases_active,8
1/2/2020,cases_recovered,0
1/2/2020,deaths_new,0
2/2/2020,cases_active,8
2/2/2020,cases_recovered,0
2/2/2020,deaths_new,0
3/2/2020,cases_active,8
3/2/2020,cases_recovered,0
3/2/2020,deaths_new,0
4/2/2020,cases_active,10
4/2/2020,cases_recovered,0
4/2/2020,deaths_new,0
5/2/2020,cases_active,11
5/2/2020,cases_recovered,1
5/2/2020,deaths_new,0
6/2/2020,cases_active,13
6/2/2020,cases_recovered,0
6/2/2020,deaths_new,0
7/2/2020,cases_active,14
7/2/2020,cases_recovered,0
7/2/2020,deaths_new,0
8/2/2020,cases_active,14
8/2/2020,cases_recovered,1
8/2/2020,deaths_new,0
9/2/2020,cases_active,14
9/2/2020,cases_recovered,1
9/2/2020,deaths_new,0
10/2/2020,cases_active,15
10/2/2020,cases_recovered,0
10/2/2020,deaths_new,0
11/2/2020,cases_active,15
11/2/2020,cases_recovered,0
11/2/2020,deaths_new,0
12/2/2020,cases_active,15
12/2/2020,cases_recovered,0
12/2/2020,deaths_new,0
13/2/2020,cases_active,15
13/2/2020,cases_recovered,0
13/2/2020,deaths_new,0
14/2/2020,cases_active,12
14/2/2020,cases_recovered,4
14/2/2020,deaths_new,0
15/2/2020,cases_active,14
15/2/2020,cases_recovered,1
15/2/2020,deaths_new,0
16/2/2020,cases_active,14
16/2/2020,cases_recovered,0
16/2/2020,deaths_new,0
17/2/2020,cases_active,11
17/2/2020,cases_recovered,3
17/2/2020,deaths_new,0
18/2/2020,cases_active,9
18/2/2020,cases_recovered,2
18/2/2020,deaths_new,0
19/2/2020,cases_active,5
19/2/2020,cases_recovered,4
19/2/2020,deaths_new,0
20/2/2020,cases_active,5
20/2/2020,cases_recovered,0
20/2/2020,deaths_new,0
21/2/2020,cases_active,5
21/2/2020,cases_recovered,0
21/2/2020,deaths_new,0
22/2/2020,cases_active,4
22/2/2020,cases_recovered,1
22/2/2020,deaths_new,0
23/2/2020,cases_active,4
23/2/2020,cases_recovered,0
23/2/2020,deaths_new,0
24/2/2020,cases_active,2
24/2/2020,cases_recovered,2
24/2/2020,deaths_new,0
25/2/2020,cases_active,2
25/2/2020,cases_recovered,0
25/2/2020,deaths_new,0
26/2/2020,cases_active,2
26/2/2020,cases_recovered,0
26/2/2020,deaths_new,0
27/2/2020,cases_active,1
27/2/2020,cases_recovered,2
27/2/2020,deaths_new,0
28/2/2020,cases_active,3
28/2/2020,cases_recovered,0
28/2/2020,deaths_new,0
29/2/2020,cases_active,3
29/2/2020,cases_recovered,0
29/2/2020,deaths_new,0
1/3/2020,cases_active,7
1/3/2020,cases_recovered,0
1/3/2020,deaths_new,0
2/3/2020,cases_active,7
2/3/2020,cases_recovered,0
2/3/2020,deaths_new,0
3/3/2020,cases_active,14
3/3/2020,cases_recovered,0
3/3/2020,deaths_new,0
4/3/2020,cases_active,27
4/3/2020,cases_recovered,1
4/3/2020,deaths_new,0
5/3/2020,cases_active,32
5/3/2020,cases_recovered,0
5/3/2020,deaths_new,0
6/3/2020,cases_active,60
6/3/2020,cases_recovered,0
6/3/2020,deaths_new,0
7/3/2020,cases_active,69
7/3/2020,cases_recovered,1
7/3/2020,deaths_new,0
8/3/2020,cases_active,74
8/3/2020,cases_recovered,1
8/3/2020,deaths_new,0
9/3/2020,cases_active,91
9/3/2020,cases_recovered,1
9/3/2020,deaths_new,0
10/3/2020,cases_active,103
10/3/2020,cases_recovered,0
10/3/2020,deaths_new,0
11/3/2020,cases_active,122
11/3/2020,cases_recovered,1
11/3/2020,deaths_new,0
12/3/2020,cases_active,125
12/3/2020,cases_recovered,6
12/3/2020,deaths_new,0
13/3/2020,cases_active,164
13/3/2020,cases_recovered,0
13/3/2020,deaths_new,0
14/3/2020,cases_active,201
14/3/2020,cases_recovered,4
14/3/2020,deaths_new,0
15/3/2020,cases_active,386
15/3/2020,cases_recovered,5
15/3/2020,deaths_new,0
16/3/2020,cases_active,511
16/3/2020,cases_recovered,0
16/3/2020,deaths_new,0
17/3/2020,cases_active,622
17/3/2020,cases_recovered,7
17/3/2020,deaths_new,2
18/3/2020,cases_active,728
18/3/2020,cases_recovered,11
18/3/2020,deaths_new,0
19/3/2020,cases_active,823
19/3/2020,cases_recovered,15
19/3/2020,deaths_new,0
20/3/2020,cases_active,940
20/3/2020,cases_recovered,12
20/3/2020,deaths_new,1
21/3/2020,cases_active,1062
21/3/2020,cases_recovered,27
21/3/2020,deaths_new,4
22/3/2020,cases_active,1156
22/3/2020,cases_recovered,25
22/3/2020,deaths_new,4
23/3/2020,cases_active,1343
23/3/2020,cases_recovered,20
23/3/2020,deaths_new,5
24/3/2020,cases_active,1423
24/3/2020,cases_recovered,24
24/3/2020,deaths_new,2
25/3/2020,cases_active,1576
25/3/2020,cases_recovered,16
25/3/2020,deaths_new,3
26/3/2020,cases_active,1790
26/3/2020,cases_recovered,16
26/3/2020,deaths_new,5
27/3/2020,cases_active,1874
27/3/2020,cases_recovered,44
27/3/2020,deaths_new,2
28/3/2020,cases_active,1966
28/3/2020,cases_recovered,61
28/3/2020,deaths_new,6
29/3/2020,cases_active,2043
29/3/2020,cases_recovered,68
29/3/2020,deaths_new,5
30/3/2020,cases_active,2105
30/3/2020,cases_recovered,90
30/3/2020,deaths_new,4
31/3/2020,cases_active,2182
31/3/2020,cases_recovered,58
31/3/2020,deaths_new,5
1/4/2020,cases_active,2214
1/4/2020,cases_recovered,108
1/4/2020,deaths_new,2
2/4/2020,cases_active,2298
2/4/2020,cases_recovered,122
2/4/2020,deaths_new,2
3/4/2020,cases_active,2450
3/4/2020,cases_recovered,60
3/4/2020,deaths_new,5
4/4/2020,cases_active,2509
4/4/2020,cases_recovered,88
4/4/2020,deaths_new,3
5/4/2020,cases_active,2596
5/4/2020,cases_recovered,90
5/4/2020,deaths_new,2
6/4/2020,cases_active,2489
6/4/2020,cases_recovered,236
6/4/2020,deaths_new,2
7/4/2020,cases_active,2578
7/4/2020,cases_recovered,80
7/4/2020,deaths_new,1
8/4/2020,cases_active,2567
8/4/2020,cases_recovered,166
8/4/2020,deaths_new,1
9/4/2020,cases_active,2553
9/4/2020,cases_recovered,121
9/4/2020,deaths_new,2
10/4/2020,cases_active,2446
10/4/2020,cases_recovered,222
10/4/2020,deaths_new,3
11/4/2020,cases_active,2462
11/4/2020,cases_recovered,165
11/4/2020,deaths_new,3
12/4/2020,cases_active,2497
12/4/2020,cases_recovered,113
12/4/2020,deaths_new,5
13/4/2020,cases_active,2462
13/4/2020,cases_recovered,168
13/4/2020,deaths_new,1
14/4/2020,cases_active,2427
14/4/2020,cases_recovered,202
14/4/2020,deaths_new,3
15/4/2020,cases_active,2341
15/4/2020,cases_recovered,169
15/4/2020,deaths_new,2
16/4/2020,cases_active,2330
16/4/2020,cases_recovered,119
16/4/2020,deaths_new,2
17/4/2020,cases_active,2197
17/4/2020,cases_recovered,201
17/4/2020,deaths_new,1
18/4/2020,cases_active,2116
18/4/2020,cases_recovered,135
18/4/2020,deaths_new,0
19/4/2020,cases_active,2104
19/4/2020,cases_recovered,95
19/4/2020,deaths_new,1
20/4/2020,cases_active,2041
20/4/2020,cases_recovered,98
20/4/2020,deaths_new,1
